Number of elements: 2224 
Elements name, Alias, Datatype, Variable group name, Initial value, type of element, comment 
DEVICE1.FBU_SFC_LD.FBU_LD.X065_2,’065_2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YVYDM1,”¬”ƒÃ1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X064_37,’064_37,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X064_26,’064_26,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X064_15,’064_15,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X064_3,’064_3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X060_33,’060_33,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X060_22,’060_22,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X060_11,’060_11,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YPZV3P,”œ«¬3œ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X056_29,’056_29,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X051_35,’051_35,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YVKLD4,”¬ Àƒ4,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X051_24,’051_24,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YVPODG,”¬œŒƒ√,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X050_34,’050_34,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X050_23,’050_23,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X050_12,’050_12,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRD1D3R,’–ƒ1ƒ3–,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRD2D2R,’–ƒ2ƒ2–,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YOKYDK2,”Œ ”ƒ 2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X045_29,’045_29,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YNGD4R,”Õ√ƒ4–,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YONGD2,”ŒÕ√ƒ2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X044_1,’044_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X044_28,’044_28,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X034_18,’034_18,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YMP1W2BS,”Ãœ1ÿ2¡—,BOOL,,,1,0,""
