Source variable,Destination variable,Source member,Destination member,Element location
DEVICE1.FBU_LD.PROG1.YM3P1_2,DEVICE1.FBU_LD.PROG1.X011_30,,,"<LD>,(DEVICE1,FBU_LD,PROG1):576:(1,1332),READING FROM,,DEVICE1.FBU_LD.PROG1.X011_30,,(0:0),1503,0,0,"
DEVICE1.FBU_LD.PROG1.YM3P1_2,DEVICE1.FBU_LD.PROG1.X011_31,,,"<LD>,(DEVICE1,FBU_LD,PROG1):577:(1,1334),READING FROM,,DEVICE1.FBU_LD.PROG1.X011_31,,(0:0),1505,0,0,"
DEVICE1.FBU_LD.PROG1.YM3P1_3,DEVICE1.FBU_LD.PROG1.X011_32,,,"<LD>,(DEVICE1,FBU_LD,PROG1):579:(1,1338),READING FROM,,DEVICE1.FBU_LD.PROG1.X011_32,,(0:0),1510,0,0,"
DEVICE1.FBU_LD.PROG1.YM3P1_3,DEVICE1.FBU_LD.PROG1.X011_33,,,"<LD>,(DEVICE1,FBU_LD,PROG1):580:(1,1340),READING FROM,,DEVICE1.FBU_LD.PROG1.X011_33,,(0:0),1512,0,0,"
DEVICE1.FBU_LD.PROG1.X011_34,DEVICE1.FBU_LD.PROG1.XRK061,,,"<LD>,(DEVICE1,FBU_LD,PROG1):582:(1,1345),READING FROM,,DEVICE1.FBU_LD.PROG1.XRK061,,(0:0),1517,0,0,"
DEVICE1.FBU_LD.PROG1.X012_25,DEVICE1.FBU_LD.PROG1.XBLKO,,,"<LD>,(DEVICE1,FBU_LD,PROG1):606:(1,1400),READING FROM,,DEVICE1.FBU_LD.PROG1.XBLKO,,(0:0),1578,0,0,"
DEVICE1.FBU_LD.PROG1.YPWB2,DEVICE1.FBU_LD.PROG1.X014_16,,,"<LD>,(DEVICE1,FBU_LD,PROG1):629:(1,1454),READING FROM,,DEVICE1.FBU_LD.PROG1.X014_16,,(0:0),1636,0,0,"
DEVICE1.FBU_LD.PROG1.YPWB2,DEVICE1.FBU_LD.PROG1.X014_17,,,"<LD>,(DEVICE1,FBU_LD,PROG1):630:(1,1456),READING FROM,,DEVICE1.FBU_LD.PROG1.X014_17,,(0:0),1638,0,0,"
DEVICE1.FBU_LD.PROG1.X017_13,DEVICE1.FBU_LD.PROG1.XOBW,,,"<LD>,(DEVICE1,FBU_LD,PROG1):716:(1,1641),READING FROM,,DEVICE1.FBU_LD.PROG1.XOBW,,(0:0),1834,0,0,"
DEVICE1.FBU_LD.PROG1.YVKISPLYUS27,DEVICE1.FBU_LD.PROG1.X019_1,,,"<LD>,(DEVICE1,FBU_LD,PROG1):758:(1,1727),READING FROM,,DEVICE1.FBU_LD.PROG1.X019_1,,(0:0),1931,0,0,"
